Date,Sto.Value,Che.Value
2021-03-30 20:18:39.600,1705.0,1587.0
2021-03-30 20:18:39.900,1719.0,1597.0
2021-03-30 20:18:40.200,1735.0,1603.0
2021-03-30 20:18:40.500,1699.0,1596.0
2021-03-30 20:18:40.800,1670.0,1596.0
2021-03-30 20:18:41.100,1616.0,1603.0
2021-03-30 20:18:41.400,1661.0,1592.0
2021-03-30 20:18:41.700,1657.0,1530.0
2021-03-30 20:18:42.000,1675.0,1578.0
2021-03-30 20:18:42.300,1703.0,1592.0
2021-03-30 20:18:42.600,1671.0,1587.0
2021-03-30 20:18:42.900,1689.0,1587.0
2021-03-30 20:18:43.200,1699.0,1578.0
2021-03-30 20:18:43.500,1716.0,1594.0
2021-03-30 20:18:43.800,1733.0,1600.0
2021-03-30 20:18:44.100,1709.0,1601.0
2021-03-30 20:18:44.400,1733.0,1603.0
2021-03-30 20:18:44.700,1655.0,1607.0
2021-03-30 20:18:45.000,1689.0,1607.0
2021-03-30 20:18:45.300,1572.0,1572.0
2021-03-30 20:18:45.600,1648.0,1596.0
2021-03-30 20:18:45.900,1677.0,1603.0
2021-03-30 20:18:46.200,1699.0,1599.0
2021-03-30 20:18:46.500,1718.0,1604.0
2021-03-30 20:18:46.800,1685.0,1607.0
